,profile_name,subscriber,view,video,country,category,since,last_subscriber_30,last_view_30,min_month_earnings,max_month_earnings,2016_views,2017_views,2018_views,2019_views,2020_views,2021_views,2022_views,2023_views,2024_views,2016_subscribers,2017_subscribers,2018_subscribers,2019_subscribers,2020_subscribers,2021_subscribers,2022_subscribers,2023_subscribers,2024_subscribers
24,S7 S,9050000,1988058575,636,Saudi Arabia (SA),Entertainment,2006,30000,14054125,5270,31600,0,392279,136139500,305123645,431988490,315063083,297083910,251846618,250421050,0,29897,1540462,1949641,2240000,1420000,840000,480000,550000
25,صالح   O Pii Lz,8940000,2628205984,1709,Saudi Arabia (SA),Gaming,2011,80000,24434215,9160,55000,0,68807629,210631271,325781906,85443090,889394928,411555117,320579501,316012542,0,652376,1407994,1259630,270000,2500000,840000,710000,1300000
26,متع عقلك,8880000,1565495127,3108,Saudi Arabia (SA),Entertainment,2014,0,1081721,405,2430,512117615,384926256,99269358,285730349,35301742,147162064,52753470,26357629,21876644,2445826,1414035,1693340,1866799,680000,440000,250000,40000,50000
27,The Saudi Reporters | سعودي ريبورترز,8880000,1765766745,403,Saudi Arabia (SA),Comedy,2010,10000,4053913,1520,9120,254875300,220557767,230224531,215016777,227082021,253618149,183009323,81665595,99717282,2030053,1336684,1189186,984077,1230000,1090000,690000,140000,190000
28,توبز Topz,8400000,1107446259,654,Saudi Arabia (SA),Entertainment,2012,40000,8865797,3320,19900,6034432,33592378,86420970,124842167,173429946,210726819,104678486,202951555,164769506,183194,582185,1145591,1229030,1670000,1640000,510000,680000,760000
29,قناة الشيخ كشك,8190000,1736993431,4312,Saudi Arabia (SA),Entertainment,2010,20000,3063299,1150,6890,333346799,253869666,272704122,218366499,113417885,180905842,181886441,127226306,55269871,936546,800716,1804838,1407900,710000,970000,750000,430000,380000
30,عمر عبدالرحمن | Omar Abdulrahman,8020000,1255299696,515,Saudi Arabia (SA),Entertainment,2012,190000,32469111,12200,73100,9167470,26372518,78562349,120121299,87823005,233200312,144587119,244598541,310867083,262928,463067,997484,1056521,580000,1500000,630000,870000,1660000
31,Saud Brothers,7870000,1656625291,202,Saudi Arabia (SA),People & Blogs,2017,10000,5551110,2080,12500,0,42165455,72791772,205498768,312224817,228917630,434188426,260375478,100462945,0,529903,624654,1655443,1760000,1050000,1380000,610000,260000
32,معلومة فى كتاب,7860000,1115180251,618,Saudi Arabia (SA),Entertainment,2013,10000,1943350,728,4370,0,115593320,196398998,53130429,192844088,334764182,119416951,67068221,35964062,0,592063,1335133,1402804,1530000,2070000,480000,290000,160000
33,D7oomy 999 | دحومي٩٩٩,7760000,1019833627,1188,Saudi Arabia (SA),Gaming,2008,50000,6127994,2300,13800,442603843,136610447,74703874,76641736,30883738,142112541,32664339,29812479,53800630,2633408,967321,567295,741976,220000,1240000,530000,160000,700000
34,عصابة بدر Badr Family,7480000,3231787860,1010,Saudi Arabia (SA),People & Blogs,2015,10000,3840440,1440,8640,0,0,418007286,582269773,634123566,961345301,292406753,252033718,91601463,0,0,1911863,1888137,1350000,1710000,350000,180000,90000
35,Lolo 7 لولو,7340000,923510147,780,Saudi Arabia (SA),People & Blogs,2016,20000,2291071,859,5150,1191240,125586159,270362046,230794676,251609071,300867565,100352822,63802513,40533407,8918,568637,577555,0,0,0,6580000,430000,330000
36,Powr Suhaib,7300000,1234561703,1104,Saudi Arabia (SA),Gaming,2015,50000,23480317,0,8810,0,0,0,0,0,298320015,301763490,322810273,311667925,0,0,0,0,0,1330000,960000,2310000,2700000
37,F Fear F Ful,6890000,1071981406,615,Saudi Arabia (SA),Gaming,2012,50000,8570991,3210,19300,0,0,0,162698660,209577577,144019109,138870817,239162057,177653186,0,0,0,1500000,1140000,690000,730000,1610000,1220000
38,Yousef Ahmed,6870000,407538578,643,Saudi Arabia (SA),Entertainment,2014,20000,4691569,1760,10600,15203486,121488219,143670836,245193947,178472378,375020569,32767008,25562822,20200451,453696,1153531,1508618,1574155,880000,1070000,100000,50000,80000
39,دستور Dstor I,6860000,1012463342,374,Saudi Arabia (SA),Entertainment,2012,0,1460375,0,547,16573286,78562421,248883661,285725455,177263484,123236038,61702054,11017065,9499878,323378,930071,1880724,1925827,840000,600000,260000,80000,20000
40,أسرار لم تكن تعرفها,6820000,1302730758,841,Saudi Arabia (SA),Education,2015,0,993423,372,2240,7376197,157550448,423010268,342067275,138674120,148416804,44150765,18088544,23396337,72249,776374,2353981,2207396,640000,560000,130000,20000,60000
41,Talin Tube Family   عائلة تالين تيوب,6770000,2610056229,900,Saudi Arabia (SA),Entertainment,2019,50000,32997951,12400,74200,0,0,0,51156395,214958468,582246505,577666797,584172448,599855616,0,0,0,417000,1093000,2040000,1140000,1000000,1080000
42,Mbc The Voice,6700000,4422971202,1666,Saudi Arabia (SA),Entertainment,2012,10000,11925557,4470,26800,1102337530,311776105,890136664,638196044,409002579,609850821,176511018,135412462,149747979,2211497,306460,1378899,1013144,550000,820000,230000,100000,90000
43,حول العالم !؟,6590000,785792826,564,Saudi Arabia (SA),Entertainment,2015,0,176618,66,397,41031834,421216923,417925464,179016912,41752409,20260268,15596081,4085237,2941522,303070,1855739,3220465,960726,200000,80000,20000,30000,20000
44,Skysoul سكاي سول L,6360000,1390445921,579,Saudi Arabia (SA),People & Blogs,2016,20000,6460592,2420,14500,0,23217517,251402179,758689478,792645345,655299382,95278733,1293481428,297952181,0,212625,803588,2043787,1680000,1010000,280000,100000,230000
45,دوباميكافين Dupamicaffeine,6300000,209575479,109,Saudi Arabia (SA),People & Blogs,2019,80000,3411713,1280,7680,0,0,0,0,0,0,71772963,82209366,55593150,0,0,0,0,0,0,2580000,2340000,1380000
46,نايف&نواف /Naif.Nawaf,6280000,2891430477,762,Saudi Arabia (SA),People & Blogs,2017,50000,21436804,8039,48200,0,0,263959140,717555036,317244988,544525543,512174188,251389387,284582195,0,0,811729,1938271,700000,890000,770000,410000,760000
47,اغرب,6220000,1016078177,1661,Saudi Arabia (SA),Entertainment,2014,10000,1604451,601,3610,118264358,193510155,267300708,110518648,116442829,122043929,39372133,22116601,26508816,791639,1084502,1956683,1037176,530000,540000,140000,50000,90000
48,سيد Sayed I,5930000,971518726,2053,Saudi Arabia (SA),Gaming,2013,30000,5590587,2100,12600,0,19680283,58171842,54878689,361398065,228666386,127564485,92536599,28622377,0,247347,795761,1006892,1900000,1230000,260000,140000,350000
49,Super Family,5890000,2085772266,342,Saudi Arabia (SA),Entertainment,2019,20000,10434983,3910,23500,0,0,0,25991707,229725129,601784555,405098424,499140591,324031860,0,0,0,347000,1353000,2010000,730000,830000,620000
50,عائلة فيحان,5860000,4810957850,806,Saudi Arabia (SA),People & Blogs,2013,0,3251409,1220,7320,9075414,592901153,1901542078,961124107,574113645,411599722,222701398,87828128,50072205,87577,1299112,2455743,1067568,470000,280000,120000,50000,30000
51,دوله كنتاكي,5830000,2195174584,907,Saudi Arabia (SA),People & Blogs,2017,40000,19860202,7450,44700,0,0,20896612,90404155,291203598,463713403,573632053,415493204,339831559,0,0,118894,410106,861000,1100000,1070000,1080000,1190000
52,مستر شنب Mr Mr Sn B2 L ,5680000,431997606,126,Saudi Arabia (SA),People & Blogs,2012,0,431997606,162000,972000,252219517,256482426,75167263,2096082,13729984,3072205,254339,529443,139392843,2781546,2052614,634842,210998,70000,10000,50000,20000,10000
53,اوكا   Oka,5640000,1239544370,2081,Saudi Arabia (SA),Gaming,2018,70000,17298949,6490,38900,0,0,0,0,0,639211823,186290631,141656675,272385241,0,0,0,0,0,2580000,370000,660000,2030000
54,Powr E Sports | باور,5340000,861800392,416,Saudi Arabia (SA),Gaming,2012,90000,22528673,8450,50700,0,0,0,0,57915722,71075778,170491395,310807031,251510466,0,0,0,0,924000,476000,1010000,1880000,1050000
55,أحداث وحقائق,5310000,655901700,540,Saudi Arabia (SA),Entertainment,2015,10000,509542,191,1150,46270104,159437803,156541499,93148354,36170043,98088963,39843962,17498360,8902612,442087,1099478,1298449,939986,300000,780000,310000,100000,40000
56,ڤلوقات راشد | Rashed’s Vlogs,5270000,467862871,197,Saudi Arabia (SA),People & Blogs,2014,0,38830,14,87,351426487,209787248,83348250,28765686,20974614,12195104,24669472,657219219,443254173,2807887,1481111,489347,151655,330000,30000,80000,50000,50000
57,Tm Faisal,5260000,1133686036,1532,Saudi Arabia (SA),Gaming,2009,40000,7845980,2940,17700,133892186,102124436,145827552,192539152,134625089,167618683,113579595,71209265,72270078,959786,597523,822383,880308,500000,630000,340000,210000,320000
58,Saif Shawaf,5260000,4346741959,521,Saudi Arabia (SA),Music,2010,150000,72205934,27100,162000,0,0,0,0,0,0,772753517,2445684249,1128304193,0,0,0,0,0,0,913000,2987000,1360000
59,Ahmed Best,5030000,220779894,56,Saudi Arabia (SA),general,2021,70000,6057329,2270,13600,0,0,0,0,0,0,0,175393359,45386535,0,0,0,0,0,0,0,4350000,680000
60,Garena Free Fire Middle East And Africa   Arabic,4940000,710001423,1823,Saudi Arabia (SA),Gaming,2019,120000,27701149,10400,62300,0,0,0,17294273,61497894,110942770,48434118,53856796,417975572,0,0,0,454000,1006000,870000,110000,490000,2010000
61,عائلة يزن,4920000,2890974867,733,Saudi Arabia (SA),Entertainment,2020,20000,22390270,8400,50400,0,0,0,0,0,0,0,0,2890974867,0,0,0,0,0,0,0,0,4920000
62,Dr. Othman Alkamees   الشيخ الدكتور عثمان الخميس,4920000,1062081132,42367,Saudi Arabia (SA),People & Blogs,2013,70000,17511230,6570,39400,0,15489618,16432564,36567226,47989930,132038036,311852028,219904948,281806782,0,70052,118603,165345,221000,465000,1470000,1140000,1270000
63,أغاني أطفال   Super Jo Jo ,4890000,41071934,58,Saudi Arabia (SA),People & Blogs,2020,0,6857377950,0,2570000,0,0,0,0,32407986,1095435150,809285127,1896056329,0,0,0,0,0,0,2930000,1640000,320000,0
64,تايقر | T1 Gge Er,4820000,0,0,Saudi Arabia (SA),Entertainment,2013,-10000,0,0,0,60471288,134338950,85400901,70801850,56372798,1159165,408544952,0,0,790527,1360601,1045804,1103068,590000,60000,60000,30000,40000
65,Its Ozx,4770000,601106410,251,Saudi Arabia (SA),Entertainment,2014,0,132638,49,298,90892731,167112029,126887321,124983743,58903890,31468597,10376474,14127369,4608994,1043223,1499591,1266143,741043,190000,60000,0,20000,10000
66,Adnan Al Ansari,4750000,3866413638,2690,Saudi Arabia (SA),Entertainment,2017,90000,101049975,37900,227000,0,0,0,0,0,128045103,1189089874,1069537590,1479741071,0,0,0,0,0,355000,825000,1920000,1650000
67,Ali Tgtv | علي تي جي تي في,4670000,875927483,429,Saudi Arabia (SA),Entertainment,2014,0,429462,161,966,5521693,24515152,54579001,210434470,158038941,279787692,67133368,16830379,59086787,118636,268196,522895,1400273,660000,1160000,170000,30000,340000
68,Solom,4620000,2604375619,2737,Saudi Arabia (SA),Gaming,2017,40000,16404005,6150,36900,0,5832645,104503171,463476876,633751773,545909065,316738904,270202168,263961017,0,37775,297835,844390,1050000,740000,350000,450000,850000
69,Khalaf Zone | خلف زون,4600000,294468830,377,Saudi Arabia (SA),People & Blogs,2011,0,1076126,403,2420,115477142,144637796,80509843,65297344,40465391,603091,30076064,198713355,17321696,1078658,895696,648772,586874,340000,550000,310000,120000,70000
70,Encise,4570000,577862709,157,Saudi Arabia (SA),Gaming,2016,30000,3223936,1210,7250,0,0,25806618,38905200,88188786,232929141,71583457,70115383,50334124,0,0,202617,355383,1002000,1830000,510000,360000,310000
71,123 Go! Gold Arabic,4540000,2463143313,1433,Saudi Arabia (SA),Entertainment,2019,10000,4911098,1840,11000,0,0,0,41225882,591729885,876696918,530449151,316174308,106867169,0,0,0,180000,1630000,1470000,770000,370000,120000
72,Amigos Forever! Arabic,4540000,2967719435,945,Saudi Arabia (SA),Comedy,2020,10000,5894939,2210,13300,0,0,0,0,0,1633678440,876154797,301412382,156473816,0,0,0,0,0,2890000,940000,390000,320000
73,Fahad Sal,4430000,404045095,368,Saudi Arabia (SA),People & Blogs,2011,10000,986962,370,2220,56264933,103412816,61683179,66151264,53934383,32291222,13011350,14101361,3194587,724762,1144614,636733,1053891,520000,130000,10000,160000,70000
74,Kadosha ,4400000,1701656959,226,Saudi Arabia (SA),Film & Animation,2013,30000,9485956,3560,21300,0,0,333868292,337360344,157371896,358200754,276719379,118755587,119380707,0,0,1142149,937851,320000,950000,530000,210000,310000
75,Mbc3,4340000,2739852692,9053,Saudi Arabia (SA),Film & Animation,2015,30000,16238463,6090,36500,0,2317930,2130179,214215026,119165608,1295690763,605161113,227820647,273351426,0,4485,73946,535569,248000,1848000,740000,360000,530000
76,أرتقي,4330000,426182898,1504,Saudi Arabia (SA),Entertainment,2013,0,270103,101,607,0,8401364,71687053,95365887,144308535,80018443,15225023,7872494,3304099,0,91954,641095,733049,0,0,4270000,40000,20000
77,Abdoh4 Magic,4290000,461657184,568,Saudi Arabia (SA),Gaming,2011,0,1728669,648,3890,21418035,15493380,60634195,78163156,41238275,85588247,56888099,67446653,34787144,258056,158052,982674,651218,270000,1100000,570000,230000,70000
78,هل تعلم؟ الرياضية,4260000,495196343,1273,Saudi Arabia (SA),Sports,2016,0,263846,98,593,0,65370599,139430139,102305771,26504658,110721003,20787222,20708285,9368666,0,631047,1534443,1074510,160000,700000,90000,60000,10000
79,إذاعة ثمانية,4220000,608174546,1269,Saudi Arabia (SA),Science & Technology,2015,90000,12637835,4740,28400,0,3402046,2578873,4831112,6551125,15700300,68638481,242459884,264012725,0,78996,54990,58014,59000,105000,538000,1796000,1530000
80,Stark X,4200000,694112934,396,Saudi Arabia (SA),People & Blogs,2017,10000,1743269,653,3920,0,0,0,136876203,172413390,147581365,43148077,122606171,71487728,0,0,0,1350000,1190000,780000,170000,460000,250000
81,فى رحاب السنة النبوية ,4180000,38012365,1715,Saudi Arabia (SA),People & Blogs,2011,30000,7516448,2820,16900,36341507,217171787,164735303,407290947,20469133,5811989,19581953,49637311,29281765,114396,1010542,1609470,555592,0,20000,270000,190000,410000
82,Rakan & Rayan,4160000,442810913,185,Saudi Arabia (SA),Gaming,2013,60000,9365347,3510,21100,0,0,0,0,0,16347682,77682327,264870038,83910866,0,0,0,0,0,351000,624000,1835000,1350000
83,Zaman,4110000,2634516822,487,Saudi Arabia (SA),Pets & Animals,2020,30000,32627978,12200,73400,0,0,0,0,0,0,0,1944188651,690328171,0,0,0,0,0,0,0,3270000,840000
84,Xx Yj Yxx,4110000,874339673,446,Saudi Arabia (SA),Gaming,2012,0,940763,352,2120,0,0,170401732,241930094,197120613,169912769,46406000,37438259,11130206,0,0,1476069,983931,670000,680000,120000,170000,10000
85,عائلة رياض,4100000,3973046418,1486,Saudi Arabia (SA),People & Blogs,2011,10000,3863189,1450,8690,0,53068057,884392008,1387063422,581141190,523596926,326915201,138238390,78631224,0,161979,1200148,1487873,420000,390000,240000,90000,110000
86,Lift And Cheat,4090000,786002101,473,Saudi Arabia (SA),Entertainment,2016,0,3579081,1340,8050,0,29492912,119904318,165589017,156885930,95137697,114779942,60637593,43574692,0,379612,1177021,1063367,750000,350000,240000,70000,60000
87,Faisal Alsaif,4050000,670221240,2624,Saudi Arabia (SA),Science & Technology,2009,0,1958963,734,4410,89863653,34218776,76094012,55598573,89598560,88711668,114282282,63590745,58262971,845722,503999,521880,528399,580000,430000,330000,180000,130000
88,Xzit Thamer,4000000,1578391550,1373,Saudi Arabia (SA),Gaming,2015,10000,13043849,4890,29300,0,12482395,34533042,35699910,40032122,56190518,762152412,350609241,286691910,0,175065,255239,496696,243000,390000,1380000,630000,430000
89,ابو خليل | Ibrahim ,3980000,482997674,199,Saudi Arabia (SA),Gaming,2020,60000,9882555,3710,22200,0,0,0,0,0,0,13440828,302630848,166925998,0,0,0,0,0,0,334000,2516000,1130000
90,Arabs Got Talent,3960000,1742751851,1159,Saudi Arabia (SA),Entertainment,2010,70000,35007550,13100,78800,577267466,304068192,187587434,326995349,79203953,173373847,55963266,19802455,18489889,1388496,529974,347754,963776,150000,350000,100000,0,130000
91,Adel Belarbi,3950000,864238883,1114,Saudi Arabia (SA),general,2016,210000,22703043,8510,51100,0,0,0,0,0,0,0,0,864238883,0,0,0,0,0,0,0,0,3950000
92,وليد الغابر,3930000,1092756057,70,Saudi Arabia (SA),Comedy,2016,20000,6315255,2370,14200,0,32280192,107863320,186950055,183580911,338595567,133372297,82847558,27266157,0,477340,740016,802644,570000,830000,230000,140000,140000
93,كوكب المعرفة,3920000,183063618,585,Saudi Arabia (SA),People & Blogs,2016,0,773936,290,1740,12578848,233227311,197331623,394997904,38332260,78525283,8142911,12727795,13481313,0,839631,1299363,681006,660000,360000,40000,10000,30000
94,كمستكا,3890000,528989589,195,Saudi Arabia (SA),Gaming,2020,100000,10558411,3960,23800,0,0,0,0,0,0,100907504,292938943,135143142,0,0,0,0,0,0,1240000,1780000,870000
95,Spooki,3810000,317350218,578,Saudi Arabia (SA),Comedy,2013,0,742035,278,1670,59836704,123062181,137230972,115801504,37206879,150205059,5582963,0,0,894231,920033,1133405,672331,3620000,3810000,0,0,0
96,Ahmed Sega,3790000,1587074655,2637,Saudi Arabia (SA),general,2011,40000,17924096,6720,40300,0,0,0,0,0,0,0,0,1587074655,0,0,0,0,0,0,0,0,3790000
97,Abdo Asalsily,3780000,2348526720,190,Saudi Arabia (SA),People & Blogs,2020,70000,55179714,20700,124000,0,0,0,0,0,291913385,728469575,645515477,682628283,0,0,0,0,0,1190000,850000,670000,1070000
98,Fir4s Gamer,3760000,700824171,1649,Saudi Arabia (SA),Gaming,2012,0,59438,22,133,326879697,102826358,98181089,76189504,11014088,62085318,19725961,2677727,1244429,1411641,540029,720682,467648,60000,500000,100000,20000,20000
99,Octan L أوكتان,3760000,448982020,506,Saudi Arabia (SA),People & Blogs,2017,0,35715,13,80,0,94161033,302109363,37889552,53864404,27468413,6477151,2660538,130670,0,369066,1973284,1087650,260000,90000,0,20000,0
100,مروى عبدالعزيز,3680000,1841990080,314,Saudi Arabia (SA),Film & Animation,2014,40000,46158611,17300,104000,0,20488676,47483824,141420572,66411271,388998940,330874604,588213936,258098257,0,59832,176999,398169,129000,816000,450000,870000,780000
101,عيسى انيميشن,3680000,1604256181,541,Saudi Arabia (SA),Comedy,2010,10000,7425839,2780,16700,0,0,0,0,0,219482111,699734330,299492720,385547020,0,0,0,0,0,590000,1440000,670000,980000
102,Powr C7   خشب,3680000,530354531,772,Saudi Arabia (SA),Gaming,2012,10000,2418666,907,5440,0,12168939,26285429,71776251,48842340,63750195,65527476,120106620,121897281,0,113531,280015,383454,453000,390000,460000,700000,900000
