,profile_name,min_month_earnings,max_month_earnings,2024_views
0,Rotana,110000,658000,3568868567
9,روتانا خليجية,21500,129000,3192515785
8,Fantom Pro,15100,90700,2023418457
167,Alma Stars,28300,170000,1819530670
3,Katakit Baby Tv,50000,300000,1499059097
66,Adnan Al Ansari,37900,227000,1479741071
4,ماشا و الدب,30800,185000,1252896126
6,Banderita X,23500,141000,1144500048
58,Saif Shawaf,27100,162000,1128304193
21,انت تستطيع,17000,102000,1118849081
